rank,store_id,store_name,website,status,primary_category
47,city_kirkuk_ChIJP5_itzLXVBURlu_Z2hXRkLk,شركة هوا لهواتف نقالة,https://www.hawa.com.iq/,failed,Phones
48,city_baghdad_ChIJw8dd05eDVxURCikryd02TqU,طيف السحابة,http://cloud_tech.net/,failed,Networking
49,city_najaf_ChIJeZko5dTXXhURQOF6W8N5VUU,عالم ابل للهواتف والاكسسوارات,https://app.gini.iq/deeplink/appleworld,failed,Electronics
50,city_baghdad_ChIJ9cgcrgp-VxURgh0twaGgHNU,عين الفهد,http://www.aynalfahad.com/,failed,Phones
51,city_mosul_ChIJ_eDmvlTrB0ARUBMl75Nghw4,كلية العلوم البيئية,http://environmentalscience.uomosul.edu.iq/,failed,Electronics
52,city_nasiriyah_ChIJRT-NUeP93T8RyhGCqE1JEv8,مركز A and H للموبايل / شحن الالعاب والبرامج,http://www.assalcenter.iq.org/,failed,Phones
53,city_basra_ChIJo4Jdo1WZxD8RsdKZ5ms4wmw,مركز التاج للحاسبات,https://altajstore.com/,failed,Electronics
54,city_karbala_ChIJ-0ms6CNvWRURpdxPfvo4W2g,مركز التواصل للهواتف واجهزة الانترنت,http://altawasu.blogspot.com/,failed,Tablets
55,city_karbala_ChIJUz5H24xtWRURtlSmBsIztno,مزاد الطائي للسبح والفضة,http://www.jasim1991.com/,failed,Electronics
56,city_baghdad_ChIJq6gIhQKCVxURcB7pKd82FSU,معرض الدوحة للالكترونيات,http://www.shivaamvaj.com/,failed,Electronics
57,city_baghdad_ChIJaYiAFQB_VxURnS71_4MDmZw,معرض براندات بغداد للاجهزة الكهربائية والمنزلية الوكيل الحصري تبريد+شاشات TCL,https://brandat_baghdad.com/,failed,Electronics
58,city_karbala_ChIJ5cCKDCJrWRURkGZgF4lwXRs,مكتب دايود سنتر,http://www.instegram.com/diode.center,failed,PC Parts
59,city_najaf_ChIJO0YFJoHXXhURMYNqSgTFhxg,مكتب علي المدني للحاسبات وكاميرات المراقبة,http://alialmadani.com/,failed,Electronics
60,city_baghdad_ChIJ6arqXLiBVxURnW3lIkXnLw8,مكتب كاردينيا لخدمات الموبايل والحاسبات,http://cutt.us/DaAH,failed,Phones
61,city_baghdad_ChIJzRYrkWKBVxURNQnz01rLOBQ,نون ستوب گيم,http://www.nonstopgame.xyz/,failed,Gaming
62,city_nasiriyah_ChIJ-ctp6tLj3T8RL2j046xJAQE,هيكفجن ذي قار HIKVISION THIQAR,https://visionthiqar.com/,failed,Electronics
63,city_kirkuk_ChIJL17xd3XXVBURCCYDYmTAZaA,ورشه بلال ومحمد للبرمجة,http://www.bilalgh.cdhost.com/,failed,Electronics
64,city_mosul_ChIJc0qxXcu_B0ARMWrG3BYxXRk,يسر للبصريات,https://autodine.cloud/yusroptical,failed,Electronics
