rank,store_id,store_name,website,status,area,primary_category,products
138,city_baghdad_ChIJeeF563x_VxUR5WbqXVvoR4A,smart station company,http://www.smartstation-iq.com/,indexable,,Smart Devices,0
139,city_baghdad_ChIJKSyHv4KDVxURR_5Gj8nQgHY,اتقان سمارت هوم - siemens,http://www.eknx-iq.com/,indexable,,Smart Devices,0
140,city_baqubah_ChIJxbDF3xJLVhURz7ZeE-P54ec,احمد عشتار (AHMED ISHTAR ),http://www.ishtarcenter.com/,indexable,,Gaming,0
141,city_basra_ChIJGYa8tNGXxD8R3Lv_fIjAVho,الكلية التقنية الهندسية في البصرة,http://www.stu.edu.iq/,indexable,,Electronics,0
142,city_mosul_ChIJl93Y4KrrB0ARY1AU85SINrQ,اللؤلؤة لمواد الفنون اليدوية,https://pearl.iqmenus.com/,indexable,,Chargers,0
143,city_karbala_ChIJzdK-VutrWRURUr3vx7BDSbQ,المخيم الحسيني.,http://imamhussain.org/news/14278,indexable,,Phones,0
144,city_erbil_ChIJTd2JjP4iB0ART_dd2sOOU2w,المركز الامريكي للعيون,http://www.bahranimc.com/,indexable,,Phones,0
145,city_basra_ChIJG54C27aZxD8R8kfmwOn3Yco,المستقبل فون,https://future-phone.store/,indexable,,Phones,0
146,city_najaf_ChIJ2eRCtjfXXhURmS988OmD3jE,الودق لتقنيات المعلومات,http://www.ishraqalwadaq.com/,indexable,,Electronics,0
147,city_baghdad_ChIJxcTQWcWDVxURAmIZ6xMqvIo,انور ابل زيونة شارع الربيعي,https://anwar-apple.com/,indexable,,Phones,0
148,city_kirkuk_ChIJG9A3fXvXVBURTKGHVL88hmw,ايفون كركوك,https://ikik-iq.web.app/,indexable,,Phones,0
149,city_najaf_ChIJR2CpegDXXhUR8Z3GxdSKnew,حسين الالعاب الإلكترونية,https://husseingamng.github.io/P/,indexable,,Gaming,0
150,city_nasiriyah_ChIJXVbJHjrj3T8RSgVEGPxPDDg,ساموراي كيمز,http://saigs.xyz/,indexable,,Electronics,0
151,city_erbil_ChIJw7mwJLcjB0ARAXHce3K2yfU,سان سيفر,http://www.sansevar.com/,indexable,,Networking,0
152,city_erbil_ChIJowRd0IUhB0ARw6g1dkUDVyI,سبيستون,http://www.spacetoon-irq.com/,indexable,,Gaming,0
153,city_baghdad_ChIJYfodk2KBVxURejI7ZASob9E,شركة أنس لتجارة إكسسوارات الحاسب و الموبايل ANAS,https://www.anas-iq.com/,indexable,,Phones,0
154,city_baghdad_ChIJgeD8vCOBVxURmKV7m-HLGs8,شركة اصالة الكواز ASALET AL-KAWAZ CO.LTD,http://www.asaletalkawaz.iq/,indexable,,Smart Devices,0
155,city_mosul_ChIJA2Jx58LrB0ARVwKBf316M6A,شركة افق الموصل,http://www.almjmuaah.com/,indexable,,Electronics,0
156,city_karbala_ChIJ22xcqt5rWRURDHy-d9-0hv4,شركة الاماني,http://www.alamani.iq/,indexable,,Phones,0
157,city_baghdad_ChIJl1EGTAB_VxURnH-4VtQ00So,شركة البدائل الذكية,http://dizzha.com/,indexable,,Networking,0
158,city_baghdad_ChIJidcJ0T-BVxURSWiiq8DvB9I,شركة البلسان التجارية,https://www.al-balsan.com/,indexable,,Electronics,0
159,city_kirkuk_ChIJgXT8YLnXVBURpL95vbBpQr4,شركة التكنولوجيا التاسعة 9tech,http://ninetech.co/,indexable,,Electronics,0
160,city_baghdad_ChIJGSAuYQCBVxURU6ZMyvl8ZLM,شركة الحلول الرقمية,http://digital-solutions.iq/,indexable,,Cameras,0
161,city_baghdad_ChIJ8_prXuZ9VxURndKVo8GvIjU,شركة الخطوات الرقمية,https://www.ds.com.iq/,indexable,,Smart Devices,0
162,city_basra_ChIJQ1SE0v6ZxD8RKBF-2val0pA,شركة الصرد للتجارة العامة المحدودة Al Sard Company for General Trading Ltd.,http://www.sardco.com/,indexable,,Chargers,0
163,city_najaf_ChIJDTSzZ3zRXhUR68loKzi6p5Y,شركة العربي لتجارة الحاسبات,http://arabiiq.com/,indexable,,Electronics,0
