reviewBucket,name,website,status,blockedReason,connector,products,offers,city,cityAr,area,lastSync,id
pending,K.G.C,https://www.kgciq.com/,probe_pending,,,0,0,Karbala,كربلاء,,,city_karbala_ChIJ8QJmKJZrWRURczPeMBDxulw
pending,Kurdsat phone & pc,http://kurdsat.co/,probe_pending,,,0,0,Sulaymaniyah,السليمانية,,,city_sulaymaniyah_ChIJYQ8nCiItAEARwkrKyv9GSdI
pending,LG Service center (Khoshnaw /Erbil) مركز صيانه ال جي (خوشناو /اربيل),http://www.lg-svc.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJG349U2YjB0ARK1Pw_WvliFU
pending,M Center Erbil,https://mcenter-iraq.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJp33QL0MjB0ARGj_3B6Bis7s
pending,M Center Sulaymaniyah,http://www.mcenter-iraq.com/,probe_pending,,,0,0,Sulaymaniyah,السليمانية,,,city_sulaymaniyah_ChIJj_wYLagvAEARHCiUrSuULO8
pending,MB it Solutions,https://mbitsolutions.net/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJTx0Ub3IfB0ARPY-Cy22rWF0
pending,Parooni company,https://paroonico.store/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJ35S-SAAjB0ARM8_k8JwCb5U
pending,Pcnetiq,http://www.pcnetiq.com/,probe_pending,,,0,0,Sulaymaniyah,السليمانية,,,city_sulaymaniyah_ChIJZ7KyBlktAEARh0kOKHfCKsA
pending,PIT Designs - Erbil Web Design,https://pitdesigns.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJp9PYOjcfB0ARa49ZKYP4lUM
pending,RAM COMPUTER,http://www.ramerbil.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJ2cVIJf8iB0ARqD6QNB-NwJg
pending,Sadar Company,http://www.sadarsat.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJWxtpUOYjB0AR5y6Kx22HS5Y
pending,Sarbast Omar Company,http://sarbast-omer.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJcWwCFbYjB0ARo1kGw6zcrNw
pending,Shopping Shop - Karbala,http://www.shoppingshop.com/,probe_pending,,,0,0,Karbala,كربلاء,,,city_karbala_ChIJKZARAWRrWRUReKUu5PCHSVA
pending,SMART AE,http://www.smartae.com/,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJ35zU8ROBVxURDSZW9QIhM60
pending,Smartech,http://www.smartech-iq.com/,probe_pending,,,0,0,Basra,البصرة,,,city_basra_ChIJebK09yWZxD8RDhrClgJoMFs
pending,smtkala,https://smtkala.ir/,probe_pending,,,0,0,Karbala,كربلاء,,,city_karbala_ChIJLWnQN-FpWRUR_Q_rn5mPAUM
pending,sonic company شركة سونيك,https://arh.company/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJq5TX47shB0ARHy_SNRiZp9I
pending,Source Tech Co. Ltd,https://sourcetechco.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJV70vHJ8jB0ARTg5OrouTCrY
pending,Tina Co. Erbil,http://www.tina-iq.net/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJWYupc-gjB0ARYy608l1mfbw
pending,Tishknet,https://www.tishknet.com/,probe_pending,,,0,0,Sulaymaniyah,السليمانية,,,city_sulaymaniyah_ChIJn2ZODJMuAEARx0kmu3iZ0Ao
pending,Vaiotik – Security and Surveillance | شركة النخبة التقنية,http://www.et.iq/,probe_pending,,,0,0,Karbala,كربلاء,,,city_karbala_ChIJL3X0TW5rWRURMD9ILtGsHlk
pending,View Enterprise Company,http://www.view-enterprise.com/iraq,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJaeNLsG0jB0ARW7j_wDgSJ0s
pending,Zero One Company for ICT Solutions,https://01solutions.net/,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJ2fGTae1_VxURyig7BdxIPrE
